File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	
File	Name	Name	Date	Date	
sharutils	1995-12-05	2015-05-30	298K	2.1M	
sharutils-4.4	2005-07-24	2005-07-24	644K	644K	
sharutils-4.5.1	2005-08-13	2005-08-13	644K	644K	
sharutils-4.6.1	2006-01-29	2006-01-29	646K	646K	
sharutils-4.6.2	2006-03-25	2006-03-25	646K	646K	
sharutils-4.6.3	2006-06-03	2006-06-03	646K	646K	
sharutils-4.6	2005-10-02	2005-10-02	644K	644K	
shepherd	2019-04-23	2024-01-07	587K	685K	
shishi	2010-05-20	2022-08-06	4.7M	2.9M	
shmm	2008-06-28	2008-06-28	377K	377K	
shtool	1999-06-25	2008-07-18	46K	95K	
sipwitch	2008-04-18	2015-12-13	406K	544K	
slib	2012-04-09	2020-02-15	945K	962K	
smalltalk	2003-01-12	2013-04-08	2.8M	5.5M	
solfege	2001-03-31	2013-10-05	317K	6.6M	
solfege-easybuild	2005-02-28	2005-04-25	653K	768K	
spacechart	2002-12-06	2002-12-06	398K	398K	
spell	1997-02-23	2011-07-21	43K	86K	
sqltutor	2009-04-29	2017-11-19	780K	655K	
source-highlight	2001-06-11	2019-10-12	167K	1.6M	
stow	1996-10-12	2019-07-28	105K	639K	
superopt	1995-06-14	1995-06-14	77K	77K	
swbis	2006-02-01	2023-07-02	2.2M	3.2M	
challenger	2023-11-15	2023-11-15	561K	561K	
libeufin-0.9.1	2023-01-26	2023-01-26	655K	655K	
libeufin-0.9.2	2023-02-22	2023-02-22	660K	660K	
libeufin-0.9.3	2023-11-30	2023-11-30	26M	26M	
libeufin-latest	2023-02-22	2023-02-22	660K	660K	
sync	2019-12-24	2023-09-24	492K	536K	
taler-bank	2016-06-02	2021-08-10	225K	134K	
taler-exchange	2016-06-02	2023-11-30	788K	7.3M	
taler-mdb	2019-12-25	2023-09-24	138K	171K	
taler-merchant	2016-06-02	2023-11-30	1.1M	6.8M	
taler-twister	2021-08-10	2023-09-24	421K	429K	
taler-wallet	2022-11-04	2023-11-29	13M	12M	
taler-wallet-webex-0.0.0	2016-06-03	2016-06-03	825K	825K	
taler-wallet-webex-0.1.0	2016-10-11	2016-10-11	786K	786K	
taler-wallet-webex-0.1.2	2016-10-11	2016-10-11	786K	786K	
taler-wallet-webex-0.2.0	2016-11-22	2016-11-22	1.3M	1.3M	
taler-wallet-webex-0.3.0	2017-06-06	2017-06-06	635K	635K	
taler-wallet-webex-0.4.0	2017-10-18	2017-10-18	4.6M	4.6M	
taler-wallet-webex-0.5.0	2018-04-08	2018-04-08	5.5M	5.5M	
tar	1996-10-01	2023-07-18	670K	4.4M	
termcap	1995-08-17	2002-03-13	282K	429K	
termutils	1995-12-01	1995-12-01	115K	115K	
teseq	2008-08-04	2015-08-14	272K	317K	
teximpatient	2013-05-30	2014-11-13	2.0M	1.5M	
texinfo	2003-06-10	2023-10-18	1.8M	12M	
time	1996-07-11	2018-03-12	101K	583K	
tramp	2005-02-01	2023-12-30	319K	661K	
trueprint	1999-07-19	2013-03-11	141K	557K	
unifont	2013-10-20	2023-10-29	8.8M	30M	
unifont_6.3.20140214	2014-02-15	2014-02-15	20K	20K	
unifont_6.3.20140214.orig	2014-02-15	2014-02-15	17M	17M	
unifont_7.0.03.orig	2014-07-02	2014-07-02	18M	18M	
units	1997-01-14	2022-09-05	116K	1.2M	
unrtf	2001-10-03	2018-11-24	62K	794K	
unrtf_0.19.8	2006-01-06	2006-01-06	78K	78K	
unrtf_0.19.9	2006-01-06	2006-01-06	78K	78K	
unrtf_0.20.0	2006-03-05	2006-03-05	150K	150K	
unrtf_0.20.1	2006-03-14	2006-03-14	150K	150K	
unrtf_0.20.2	2006-06-27	2006-06-27	401K	401K	
unrtf_0.20.3	2007-06-16	2007-06-16	428K	428K	
unrtf_0.20.4	2007-08-28	2007-08-30	433K	433K	
userv	1999-04-20	2006-06-05	208K	194K	
userv-utils	2000-03-06	2000-09-17	28K	63K	
uucp	2000-03-10	2003-06-03	1.4M	1.0M	
vc-dwim	2009-06-25	2011-05-20	313K	357K	
vcdimager	2001-05-15	2018-01-07	340K	1.1M	
vera	1998-10-28	2020-08-04	127K	235K	
wb	2012-04-09	2020-02-17	428K	434K	
wdiff	1994-11-06	2014-04-14	126K	1.4M	
websocket4j	2010-10-24	2010-10-24	207K	207K	
wget	1998-09-23	2023-05-10	436K	4.8M	
wget2	2019-08-30	2023-08-31	3.0M	3.7M	
which	2007-10-10	2015-03-20	123K	146K	
xaos	1998-03-17	1998-03-17	480K	480K	
xboard	2009-12-08	2016-07-31	1.7M	3.8M	
xlogmaster	1998-07-24	2009-06-24	161K	381K	
Xnee	2005-07-15	2007-07-04	566K	597K	
xnee	2003-05-12	2014-05-06	313K	1.8M	
xorriso	2010-02-22	2023-06-20	1.3M	2.7M	
zile	2008-05-06	2021-05-04	356K	1.1M	
